generation, input, state, input_feasible, input_infeasible, state_feasible, state_infeasible
297,2000,1445,1741,,1444,
315,1556,1389,1648,,1407,
315,666,3315,1778,,1463,
315,1519,3426,1925,,1649,
315,1796,1444,1722,,1426,
315,1777,1445,1445,,1648,
314,1130,1407,1759,,1759,
315,2518,1667,1555,,1463,
296,1814,1426,1481,,1574,
296,1148,1445,1593,,1759,
296,1815,1593,1741,,1444,
314,1630,1667,1889,,1463,
315,1556,1686,1462,,1463,
314,1556,1667,1629,,1667,
315,1667,1444,1722,,1444,
315,1629,1407,1592,,1685,
315,1926,1463,1722,,1611,
315,1685,1649,1704,,3408,
314,648,1426,1759,,1629,
315,1574,1648,1574,,1389,
315,1648,1759,1871,,1463,
315,1407,1463,1444,,1648,
315,1777,1574,1814,,1444,
315,1518,1759,1630,,2444,
315,1444,1444,1704,,1389,
315,630,1463,2167,,1463,
315,1648,1463,1648,,1445,
314,1926,1667,1704,,1482,
315,1778,1444,1685,,1426,
315,1481,1685,1815,,1426,
315,1519,1611,1462,,1685,
315,1703,3408,1852,,1444,
315,1481,1629,3056,,1482,
296,648,1389,1463,,1445,
314,1444,1463,1778,,1685,
315,1500,1648,1463,,1481,
314,1889,1444,1500,,1481,
315,1723,2444,1463,,1445,
315,2667,1389,1444,,1666,
315,1648,1463,1500,,1463,
315,1666,1445,1445,,1759,
315,1444,1482,1852,,1648,
315,1389,1426,4741,,1667,
315,648,1426,1926,,1667,
315,1815,1685,1944,,1648,
296,1592,1444,1519,,1648,
296,1814,1482,1852,,1426,
315,1852,1445,2000,,1481,
297,1685,1685,1797,,1482,
315,1481,1481,1463,,1482,
315,1685,1481,1833,,1444,
315,630,1445,1796,,3815,
315,666,1666,1778,,1685,
296,1944,1463,1629,,1500,
315,1963,1759,1648,,1685,
315,2019,1648,1482,,1481,
315,1630,1667,1666,,3463,
315,1944,1667,1648,,1463,
296,1574,1648,1537,,1444,
314,1612,1648,2333,,1666,
315,685,1426,1815,,2741,
296,1871,1481,1518,,1445,
315,1834,1482,1593,,1445,
296,1463,1482,1963,,1463,
296,1648,1444,1629,,1648,
296,1777,3815,1778,,1482,
315,1833,1685,1667,,1445,
296,1518,1500,1722,,1666,
315,1629,1685,1463,,1649,
296,1722,1481,1629,,1426,
315,1723,3463,1426,,1648,
296,1166,1463,1481,,1648,
297,2556,1444,1945,,1389,
296,1833,1666,1407,,3778,
315,1667,2741,1685,,1555,
297,1593,1445,1926,,1630,
315,2593,1445,1833,,1648,
315,1482,1463,1870,,1741,
315,1685,1648,1426,,1648,
296,1741,1482,1445,,1630,
315,2445,1445,1740,,1408,
315,667,1666,1667,,1630,
315,1481,1649,1796,,1463,
315,667,1426,1593,,1481,
315,1463,1648,1889,,1629,
296,1741,1648,1666,,1648,
297,1463,1389,1796,,1574,
315,1759,3778,1759,,1611,
297,1463,1555,1592,,1648,
315,1445,1630,1574,,1648,
315,1778,1648,1759,,1648,
315,1741,1741,,,1481,
315,1481,1648,,,1648,
296,1666,1630,,,1629,
314,630,1408,,,1629,
315,630,1630,,,1481,
315,1815,1463,,,1371,
315,1463,1481,,,1444,
315,1500,1629,,,1445,
315,1833,1648,,,1463,
315,1778,1574,,,1408,
315,1482,1611,,,1667,
315,1426,1648,,,1463,
296,1444,1648,,,1667,
315,1870,1648,,,1426,
314,1481,1481,,,1667,
314,1778,1648,,,1667,
314,1944,1629,,,1445,
315,630,1629,,,1444,
315,1722,1481,,,1630,
315,1944,1371,,,1630,
315,1648,1444,,,1648,
296,1723,1445,,,1648,
297,6741,1463,,,1463,
315,667,1408,,,1648,
296,1129,1667,,,1389,
315,1500,1463,,,1370,
